iter	Logloss
0	0.6868968345
1	0.6822155127
2	0.6750478015
3	0.6680771014
4	0.6607710812
5	0.6548877681
6	0.6486365642
7	0.6427693498
8	0.6363149287
9	0.6306045952
10	0.6245229645
11	0.6188119311
12	0.6114935919
13	0.6052407548
14	0.6005397412
15	0.5937379143
16	0.588084323
17	0.5828153278
18	0.5779669059
19	0.5735374241
20	0.5700027979
21	0.5650759356
22	0.5611000178
23	0.5563892983
24	0.5522832375
25	0.547802753
26	0.5427475676
27	0.5390892379
28	0.5365367738
29	0.532652502
30	0.5288743885
31	0.5256661231
32	0.5222070443
33	0.5188553836
34	0.5158053057
35	0.5114950478
36	0.5090644673
37	0.5060938097
38	0.5035670103
39	0.5006571545
40	0.4974774935
41	0.4942564425
42	0.4905885469
43	0.4878477511
44	0.4844920307
45	0.4814481123
46	0.4796129046
47	0.477827253
48	0.4746593044
49	0.4711132458
50	0.4681095042
51	0.4664581019
52	0.4637719951
53	0.4610719827
54	0.4582982428
55	0.4560212768
56	0.453285194
57	0.4505387052
58	0.4477597858
59	0.4455071779
60	0.4439327228
61	0.4417383036
62	0.4400156937
63	0.4381957448
64	0.4368853554
65	0.4354784671
66	0.4336338801
67	0.4317906931
68	0.4301517965
69	0.4288568526
70	0.4278333005
71	0.4262517993
72	0.4249166319
73	0.4230753581
74	0.4218098118
75	0.4197881389
76	0.4180892338
77	0.4169303124
78	0.4152020096
79	0.4129316697
80	0.4116401322
81	0.4101407112
82	0.4086983124
83	0.4069866215
84	0.4061724462
85	0.4052198684
86	0.4042363065
87	0.4028772477
88	0.4015864568
89	0.4004021974
90	0.3987189243
91	0.3978336813
92	0.3966592211
93	0.3953504183
94	0.3943271462
95	0.3932846489
96	0.392410185
97	0.3914899447
98	0.3903530949
99	0.3895293303
100	0.3886551463
101	0.3871497058
102	0.3857510301
103	0.3847468432
104	0.3838562805
105	0.3830463048
106	0.3815250455
107	0.3801398554
108	0.3788803754
109	0.3775561738
110	0.3763448033
111	0.3752277386
112	0.3743666203
113	0.3738988241
114	0.3729406234
115	0.371748898
116	0.3704901879
117	0.3698343399
118	0.3687465563
119	0.3671575424
120	0.3660077903
121	0.3648796665
122	0.3636759487
123	0.3626862039
124	0.3616621618
125	0.3611175817
126	0.360189502
127	0.3592757945
128	0.3585896623
129	0.3581390847
130	0.3571296715
131	0.3565941207
132	0.3552997834
133	0.3544421881
134	0.3540128189
135	0.3528307294
136	0.3516353875
137	0.3508317113
138	0.350314919
139	0.3499250033
140	0.3491190872
141	0.3479555929
142	0.3468636796
143	0.3456473628
144	0.3444967241
145	0.3436284663
146	0.3430073589
147	0.342384315
148	0.3411927296
149	0.3406847566
150	0.3400283487
151	0.3390808805
152	0.3385966356
153	0.3375479322
154	0.3368705959
155	0.3357894384
156	0.3352754459
157	0.3346836195
158	0.3339589437
159	0.3334488242
160	0.3326753389
161	0.3319207988
162	0.3310534043
163	0.3304298938
164	0.3296634312
165	0.32896449
166	0.3284423082
167	0.3278299501
168	0.3268471347
169	0.3261133596
170	0.3248521297
171	0.3243306245
172	0.3239576707
173	0.3229998667
174	0.3221443946
175	0.3214952195
176	0.3212133752
177	0.3206348011
178	0.3202369293
179	0.3196930725
180	0.3193834171
181	0.3189097647
182	0.3184464481
183	0.3180949593
184	0.3174452709
185	0.3163785555
186	0.3154076159
187	0.3150923609
188	0.3147000654
189	0.3140465273
190	0.3137071475
191	0.3132559633
192	0.3120707007
193	0.3113341959
194	0.3104994654
195	0.3101132827
196	0.3094252373
197	0.3090021209
198	0.3083207717
199	0.3076641771
200	0.3073473356
201	0.3065990016
202	0.305858787
203	0.3053154435
204	0.3048450575
205	0.3039623109
206	0.3034560644
207	0.3026781928
208	0.3022133363
209	0.3011879411
210	0.3005010622
211	0.2999993421
212	0.2994637446
213	0.2989109984
214	0.2981654643
215	0.2978006299
216	0.2974152638
217	0.2970815069
218	0.2963092116
219	0.2959453338
220	0.2956144934
221	0.2952392765
222	0.2948751654
223	0.2942640905
224	0.2936739907
225	0.2933232952
226	0.2931086456
227	0.2924800488
228	0.2920475298
229	0.2915103224
230	0.2909692653
231	0.2905308901
232	0.2897823695
233	0.2894913793
234	0.2889431361
235	0.288655039
236	0.2884806128
237	0.2882093144
238	0.2877689093
239	0.2871865089
240	0.2870129693
241	0.2867384511
242	0.2861162938
243	0.285803232
244	0.2854344313
245	0.2847729604
246	0.2845932147
247	0.2840475613
248	0.2838261456
249	0.2832926012
