iter	Passed	Remaining
0	2	2858
1	4	2377
2	7	2509
3	9	2464
4	12	2404
5	14	2374
6	16	2393
7	18	2352
8	21	2320
9	23	2305
10	26	2348
11	28	2321
12	30	2339
13	33	2351
14	35	2353
15	37	2326
16	40	2331
17	42	2339
18	44	2322
19	47	2308
20	49	2292
21	51	2279
22	53	2256
23	55	2248
24	57	2237
25	59	2242
26	62	2234
27	64	2251
28	66	2235
29	68	2228
30	70	2218
31	73	2218
32	75	2212
33	77	2208
34	79	2202
35	82	2198
36	84	2193
37	86	2182
38	88	2175
39	90	2176
40	93	2183
41	95	2177
42	98	2181
43	100	2181
44	102	2175
45	104	2172
46	106	2166
47	109	2165
48	111	2162
49	113	2159
50	116	2159
51	117	2149
52	119	2141
53	122	2152
54	125	2154
55	127	2147
56	129	2143
57	132	2146
58	134	2145
59	136	2145
60	139	2151
61	142	2150
62	144	2155
63	147	2152
64	149	2147
65	151	2143
66	153	2141
67	155	2135
68	157	2131
69	160	2133
70	163	2133
71	165	2127
72	167	2124
73	169	2122
74	171	2119
75	173	2113
76	176	2110
77	178	2105
78	180	2101
79	182	2094
80	184	2094
81	186	2089
82	188	2085
83	190	2081
84	193	2080
85	195	2081
86	197	2076
87	199	2071
88	202	2069
89	204	2066
90	206	2062
91	208	2060
92	210	2056
93	212	2050
94	214	2044
95	216	2042
96	219	2040
97	221	2037
98	223	2033
99	225	2030
100	228	2033
101	230	2031
102	233	2030
103	235	2027
104	237	2024
105	239	2021
106	241	2019
107	244	2017
108	246	2013
109	248	2009
110	250	2006
111	252	2004
112	255	2001
113	257	2003
114	259	2000
115	262	1999
116	264	1998
117	267	1996
118	269	1994
119	271	1991
120	273	1988
121	275	1986
122	277	1981
123	279	1976
124	281	1973
125	284	1971
126	286	1968
127	288	1968
128	291	1965
129	293	1961
130	295	1960
131	297	1958
132	300	1956
133	302	1953
134	305	1956
135	307	1953
136	309	1948
137	311	1944
138	313	1941
139	315	1938
140	318	1939
141	321	1939
142	323	1937
143	325	1935
144	327	1932
145	330	1930
146	332	1931
147	335	1929
148	337	1927
149	339	1925
150	341	1922
151	344	1919
152	346	1916
153	348	1912
154	350	1910
155	353	1912
156	355	1910
157	357	1905
158	359	1901
159	361	1899
160	363	1896
161	366	1893
162	369	1895
163	371	1893
164	373	1891
165	375	1888
166	378	1885
167	380	1882
168	382	1879
169	384	1878
170	386	1874
171	388	1870
172	390	1866
173	392	1865
